City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Lorengau,PG,2022-04-27 06:07:07,-2.0226,147.2712,83.35,79,95,7.23
162,Jaypur,IN,2022-04-27 06:07:08,18.85,82.5833,100.71,17,27,8.08
163,Port-Gentil,GA,2022-04-27 06:07:08,-0.7193,8.7815,73.36,94,75,10.36
164,Neiafu,TO,2022-04-27 06:07:08,-18.65,-173.9833,75.88,88,75,4.61
165,Yangambi,CD,2022-04-27 06:07:09,0.8102,24.4336,70.36,93,99,1.39
166,Leningradskiy,RU,2022-04-27 06:07:09,69.3833,178.4167,20.66,92,85,12.93
167,Woodward,US,2022-04-27 06:07:09,36.4337,-99.3904,58.23,44,0,16.11
168,Ostrovnoy,RU,2022-04-27 06:07:10,68.0531,39.5131,21.87,79,82,25.64
169,Oistins,BB,2022-04-27 06:07:10,13.0667,-59.5333,77.09,94,40,6.91
170,Souillac,MU,2022-04-27 06:07:11,-20.5167,57.5167,78.78,73,20,10.07
171,Los Llanos De Aridane,ES,2022-04-27 06:07:11,28.6585,-17.9182,58.75,51,0,10.36
172,Terra Nova,BR,2022-04-27 06:07:11,-12.3667,-40.6667,62.04,99,15,2.68
173,Luang Prabang,LA,2022-04-27 06:07:12,19.8856,102.1347,89.56,66,40,4.61
174,Marshall,US,2022-04-27 06:05:11,34.3834,-86.3333,51.55,66,0,6.91
175,Marathon,US,2022-04-27 06:05:54,44.9,-89.7668,27.93,63,0,9.22
176,Indore,IN,2022-04-27 06:07:13,22.7179,75.8333,101.43,9,0,9.8
177,Athabasca,CA,2022-04-27 06:07:13,54.7169,-113.2854,44.19,75,100,12.19
178,Jalu,LY,2022-04-27 06:07:13,29.0331,21.5482,76.12,22,85,20.07
179,Hervey Bay,AU,2022-04-27 06:07:14,-25.2986,152.8535,75.33,65,58,11.97
180,Broome,US,2022-04-27 06:07:14,42.2506,-75.833,43.38,72,20,6.91
181,San Andres,CO,2022-04-27 06:02:43,12.5847,-81.7006,80.92,80,98,17.74
182,Port Blair,IN,2022-04-27 06:07:15,11.6667,92.75,89.64,70,75,5.75
183,Geraldton,AU,2022-04-27 06:08:15,-28.7667,114.6,72.01,56,40,17.27
184,Brokopondo,SR,2022-04-27 06:08:15,4.75,-55.1667,75.96,92,76,4.72
185,Severo-Kurilsk,RU,2022-04-27 06:08:16,50.6789,156.125,34.11,89,99,21.52
186,Price,US,2022-04-27 06:08:16,39.5994,-110.8107,61.12,25,0,10.36
187,Port Hardy,CA,2022-04-27 06:08:17,50.6996,-127.4199,40.48,89,85,7.27
188,Ponta Delgada,PT,2022-04-27 06:03:43,37.7333,-25.6667,66.51,88,75,12.66
189,Nahavand,IR,2022-04-27 06:08:17,34.1885,48.377,63.3,42,7,4.34
190,Galesong,ID,2022-04-27 06:08:18,-5.3166,119.3661,89.62,69,93,5.48
191,Okhotsk,RU,2022-04-27 06:08:18,59.3833,143.3,32.9,73,77,1.68
192,Acajutla,SV,2022-04-27 06:08:18,13.5928,-89.8275,81.57,74,34,3.49
193,Talaya,RU,2022-04-27 06:08:19,61.3833,152.75,20.71,77,100,9.08
194,Livingstonia,MW,2022-04-27 06:08:19,-10.606,34.1063,66.47,85,100,4.65
195,Saldanha,ZA,2022-04-27 06:08:20,-33.0117,17.9442,56.08,70,0,6.38
196,Tambun,ID,2022-04-27 06:08:20,-6.2641,107.0712,92.89,49,100,5.35
197,Lompoc,US,2022-04-27 06:08:20,34.6391,-120.4579,49.01,90,40,8.05
198,Alice Springs,AU,2022-04-27 06:08:21,-23.7,133.8833,87.35,22,83,11.5
199,Constitucion,CL,2022-04-27 06:08:21,-35.3333,-72.4167,51.01,88,66,10.22
200,Labuhan,ID,2022-04-27 06:08:22,-6.8844,112.2051,87.08,65,100,5.7
201,El Jicaro,GT,2022-04-27 06:08:22,14.9167,-89.9,75.22,86,46,2.8
202,Shenjiamen,CN,2022-04-27 06:08:22,29.9576,122.298,59.67,76,98,13.13
203,Kaeo,NZ,2022-04-27 06:08:23,-35.1,173.7833,63.32,81,30,3.8
204,Hami,CN,2022-04-27 06:08:23,42.8,93.45,65.59,24,26,8.12
205,Moundou,TD,2022-04-27 06:08:23,8.5667,16.0833,81.01,59,84,6.13
206,Mubi,NG,2022-04-27 06:08:24,10.2676,13.2644,82.36,54,100,6.26
207,Poum,NC,2022-04-27 06:08:24,-20.2333,164.0167,77.99,68,93,21.83
208,Sept-Iles,CA,2022-04-27 06:08:25,50.2001,-66.3821,34.32,97,100,3.44
209,Korsakov,RU,2022-04-27 06:08:25,46.6328,142.7813,48.04,82,98,23.91
210,Aklavik,CA,2022-04-27 06:05:21,68.2191,-135.0107,25.54,93,100,6.64
211,Baykit,RU,2022-04-27 06:04:12,61.67,96.37,39.04,62,31,2.68
212,Provideniya,RU,2022-04-27 06:08:26,64.3833,-173.3,30.7,86,63,7.43
213,Svetlaya,RU,2022-04-27 06:08:26,46.5389,138.3297,46.49,54,47,14.5
214,Gamba,GA,2022-04-27 06:04:08,-2.65,10.0,74.35,94,100,8.21
215,Kruisfontein,ZA,2022-04-27 06:08:27,-34.0033,24.7314,54.88,70,4,4.43
216,Flinders,AU,2022-04-27 06:08:27,-34.5833,150.8552,67.17,92,100,8.01
217,Comodoro Rivadavia,AR,2022-04-27 06:08:27,-45.8667,-67.5,40.86,56,0,14.97
218,Matongo,TZ,2022-04-27 06:08:28,-2.3833,34.0833,68.04,82,99,4.12
219,Dudhani,IN,2022-04-27 06:08:28,17.3667,76.3667,100.24,19,19,0.63
220,Forio,IT,2022-04-27 06:08:29,40.7342,13.8646,64.81,85,0,3.0
221,Byron Bay,AU,2022-04-27 06:08:29,-28.65,153.6167,71.94,84,76,5.03
222,Erenhot,CN,2022-04-27 06:08:30,43.6475,111.9767,48.33,16,100,1.97
223,Beloha,MG,2022-04-27 06:08:30,-25.1667,45.05,74.62,78,93,18.05
224,Kirillov,RU,2022-04-27 06:08:30,59.863,38.3813,30.13,83,89,9.82
225,Craig,US,2022-04-27 06:08:31,40.5153,-107.5464,49.62,43,0,3.44
226,Husavik,IS,2022-04-27 06:08:31,66.0449,-17.3389,36.1,99,100,5.32
227,Ribeira Grande,PT,2022-04-27 06:09:32,38.5167,-28.7,63.5,94,98,23.64
228,North Bend,US,2022-04-27 06:07:57,43.4065,-124.2243,48.11,94,100,4.61
229,Srednekolymsk,RU,2022-04-27 06:09:32,67.45,153.6833,27.14,93,100,9.1
230,Cabo San Lucas,MX,2022-04-27 06:09:32,22.8909,-109.9124,74.52,38,0,5.01
231,Cherskiy,RU,2022-04-27 06:09:33,68.75,161.3,33.1,97,70,7.11
232,Kiama,AU,2022-04-27 06:09:33,-34.6833,150.8667,67.37,94,100,1.01
233,Onguday,RU,2022-04-27 06:09:33,50.75,86.15,50.27,43,72,2.35
234,Lodwar,KE,2022-04-27 06:09:34,3.1191,35.5973,83.5,55,100,10.67
235,Batagay-Alyta,RU,2022-04-27 06:09:34,67.8006,130.4114,20.71,78,100,5.82
236,Hualmay,PE,2022-04-27 06:09:34,-11.0964,-77.6139,65.59,93,97,8.23
237,Tazovskiy,RU,2022-04-27 06:09:35,67.4667,78.7,29.26,96,100,24.83
238,Libreville,GA,2022-04-27 06:09:35,0.3925,9.4537,74.68,95,100,7.72
239,Talnakh,RU,2022-04-27 06:09:36,69.4865,88.3972,25.21,86,99,14.16
240,Samarai,PG,2022-04-27 06:09:36,-10.6167,150.6667,83.64,75,89,4.21
241,Pontianak,ID,2022-04-27 06:09:36,-0.0333,109.3333,91.38,59,20,3.44
242,Booue,GA,2022-04-27 06:09:37,-0.0921,11.9385,72.37,99,100,1.66
243,Tromso,NO,2022-04-27 06:09:37,69.6496,18.957,28.38,86,75,8.05
244,Luderitz,NA,2022-04-27 06:09:38,-26.6481,15.1594,65.25,50,0,5.21
245,Tura,IN,2022-04-27 06:09:38,25.5198,90.2201,90.75,47,7,7.23
246,Okato,NZ,2022-04-27 06:09:38,-39.2,173.8833,61.92,72,14,8.99
247,Amarillo,US,2022-04-27 06:09:39,35.222,-101.8313,57.24,34,0,19.57
248,Fairbanks,US,2022-04-27 06:09:39,64.8378,-147.7164,44.56,53,75,4.61
249,Sibolga,ID,2022-04-27 06:09:39,1.7427,98.7792,86.77,67,100,5.39
250,Charlestown,AU,2022-04-27 06:09:40,-32.95,151.6667,70.74,91,100,3.18
251,Tucuman,AR,2022-04-27 06:09:40,-26.8241,-65.2226,64.4,94,100,5.75
252,Darlawn,IN,2022-04-27 06:09:40,24.0167,92.9,91.0,21,0,5.01
253,Piacabucu,BR,2022-04-27 06:09:41,-10.4056,-36.4344,75.74,82,31,4.52
254,Pumiao,CN,2022-04-27 06:09:41,22.75,108.4833,84.6,61,70,10.13
255,Khatanga,RU,2022-04-27 06:09:41,71.9667,102.5,23.43,78,98,9.04
256,Ishigaki,JP,2022-04-27 06:08:06,24.3448,124.1572,86.13,79,75,13.8
257,The Valley,AI,2022-04-27 06:09:43,18.217,-63.0578,76.86,73,76,16.73
258,Kabompo,ZM,2022-04-27 06:09:43,-13.5927,24.2008,65.82,83,86,6.73
259,Chokurdakh,RU,2022-04-27 06:09:44,70.6333,147.9167,16.5,90,100,11.1
260,Mecca,SA,2022-04-27 06:09:44,21.4267,39.8261,89.47,34,8,2.01
261,Denpasar,ID,2022-04-27 06:09:44,-8.65,115.2167,87.46,74,20,10.36
262,Mezhdurechensk,RU,2022-04-27 06:09:45,53.6942,88.0603,55.24,45,85,3.2
263,Verkhnyaya Sinyachikha,RU,2022-04-27 06:09:45,57.976,61.6673,55.4,81,100,11.63
264,Uren,RU,2022-04-27 06:09:45,57.4552,45.7852,49.3,81,98,5.12
265,Rogers,US,2022-04-27 06:09:46,36.3668,-95.5836,53.85,60,0,0.0
266,Fuxin,CN,2022-04-27 06:09:46,42.0156,121.6589,59.5,9,61,10.71
267,Purwodadi,ID,2022-04-27 06:07:59,-7.0868,110.9158,88.81,62,100,6.2
268,Dafeng,CN,2022-04-27 06:09:47,23.4517,108.5881,86.72,69,63,6.93
269,Saint-Augustin,CA,2022-04-27 06:09:47,51.226,-58.6502,34.12,99,100,7.63
270,Nanortalik,GL,2022-04-27 06:09:47,60.1432,-45.2371,36.27,79,100,7.56
