WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Ahipara,NZ,-35.1667,173.1667,67.73,55,0,1.95,clear sky
289,La Palma,US,33.8464,-118.0467,86.67,60,0,11.5,clear sky
290,Vardo,NO,70.3705,31.1107,39.4,96,99,14.7,overcast clouds
291,Uglich,RU,57.5275,38.3317,43.66,77,61,5.97,broken clouds
292,Ulaanbaatar,MN,47.9077,106.8832,35.73,87,75,17.9,heavy intensity rain
293,Kathmandu,NP,27.7167,85.3167,64.62,94,75,0.0,broken clouds
294,Zhezkazgan,KZ,47.8043,67.7144,51.13,38,42,19.24,scattered clouds
295,Banyo,CM,6.75,11.8167,68.47,89,85,2.35,overcast clouds
296,Xai-Xai,MZ,-25.0519,33.6442,65.93,92,0,2.8,clear sky
297,Oktyabrskiy,RU,54.4815,53.471,35.87,70,27,4.16,scattered clouds
298,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,47,15.46,light rain
299,Kattivakkam,IN,13.2167,80.3167,83.07,77,42,9.26,scattered clouds
300,Araouane,ML,18.9048,-3.5265,90.86,16,33,6.42,scattered clouds
301,Macamic,CA,48.7502,-78.9996,41.54,47,0,6.46,clear sky
302,Pudozh,RU,61.8099,36.5345,40.53,97,52,6.46,broken clouds
303,Bennettsville,US,34.6174,-79.6848,75.7,83,40,5.99,scattered clouds
304,Alekseyevsk,RU,57.8406,108.3492,43.72,51,90,4.5,overcast clouds
305,Lompoc,US,34.6391,-120.4579,77.68,72,0,30.0,clear sky
306,Chokwe,MZ,-24.5333,32.9833,65.37,76,0,1.61,clear sky
307,Centralia,US,46.7162,-122.9543,56.44,90,100,1.01,overcast clouds
308,Vao,NC,-22.6667,167.4833,75.38,66,78,18.61,broken clouds
309,Hualmay,PE,-11.0964,-77.6139,65.01,87,6,9.33,clear sky
310,Saiki,JP,32.95,131.9,69.37,76,30,4.85,scattered clouds
311,Cherskiy,RU,68.75,161.3,32.92,100,100,4.59,overcast clouds
312,Conde,BR,-7.2597,-34.9075,72.86,94,75,9.22,broken clouds
313,Grand Gaube,MU,-20.0064,57.6608,73.8,63,41,19.53,scattered clouds
314,Prince Rupert,CA,54.3161,-130.3201,48.29,69,0,13.8,clear sky
315,El Alto,PE,-4.2714,-81.2147,67.75,82,48,10.07,scattered clouds
316,Seoul,KR,37.5683,126.9778,63.79,82,75,6.91,broken clouds
317,Tiznit,MA,29.5833,-9.5,73.18,23,64,4.14,broken clouds
318,Helong,CN,42.5397,128.9972,51.31,33,68,15.21,broken clouds
319,Takoradi,GH,4.8845,-1.7554,77.38,84,100,6.55,overcast clouds
320,Devonport,AU,-41.1667,146.35,55.09,70,60,14.34,broken clouds
321,Roald,NO,62.5833,6.1333,46.76,75,75,10.36,broken clouds
322,Toyoshina,JP,36.2999,137.9011,69.15,53,20,5.75,few clouds
323,Duku,NG,11.2361,4.9073,85.59,49,98,8.34,overcast clouds
324,Tapes,BR,-30.6733,-51.3958,59.04,75,54,1.45,broken clouds
325,Mvuma,ZW,-19.2792,30.5283,53.4,68,1,4.76,clear sky
326,Byron Bay,AU,-28.65,153.6167,66.94,92,100,7.72,overcast clouds
327,Acajutla,SV,13.5928,-89.8275,82.47,76,60,10.33,broken clouds
328,Bauru,BR,-22.3147,-49.0606,67.14,72,0,10.36,clear sky
329,Atbasar,KZ,51.8,68.3333,38.7,43,97,9.04,overcast clouds
330,Tete,MZ,-16.1564,33.5867,66.31,77,1,3.13,clear sky
331,Lebu,CL,-37.6167,-73.65,52.34,92,75,6.98,broken clouds
332,Kargopol,RU,61.5071,38.9456,37.98,95,16,5.75,few clouds
333,Khani,GE,41.9563,42.9566,42.37,99,100,2.95,overcast clouds
334,Cabedelo,BR,-6.9811,-34.8339,74.07,85,35,12.8,scattered clouds
335,Hinton,CA,53.4001,-117.5857,53.42,39,98,12.53,overcast clouds
336,Aasiaat,GL,68.7098,-52.8699,17.02,94,18,6.04,few clouds
337,Moutier,CH,47.2782,7.3695,53.26,96,75,0.0,broken clouds
338,Ishigaki,JP,24.3448,124.1572,80.73,69,75,4.61,broken clouds
339,Baton Rouge,US,30.4508,-91.1545,84.06,50,0,4.61,clear sky
340,Kununurra,AU,-15.7667,128.7333,76.98,23,0,14.97,clear sky
341,Sarankhola,BD,22.3082,89.7897,78.84,86,18,3.71,few clouds
342,Hvide Sande,DK,56.0045,8.1294,51.1,95,100,13.24,overcast clouds
343,Kutum,SD,14.2,24.6667,74.77,16,77,7.38,broken clouds
344,Kruisfontein,ZA,-34.0033,24.7314,59.38,82,97,8.01,overcast clouds
345,Kahului,US,20.8947,-156.47,82.42,65,0,29.93,clear sky
346,Luderitz,NA,-26.6481,15.1594,56.41,88,2,14.65,clear sky
